Status,Population,State,City
active,"17,987",OH,Berea
active,"4,913",IL,Berkeley
active,"14,431",KY,Berea
active,"9,387",MO,Berkeley
active,"25,611",NJ,Bergenfield
active,"101,371",CA,Berkeley
active,"14,787",MI,Berkley
active,"4,997",WI,Berlin
active,"7,922",NJ,Berlin
active,"9,556",NH,Berlin
active,"9,237",NM,Bernalillo
active,"7,750",NJ,Bernardsville
active,"5,429",CO,Berthoud
active,"49,919",IL,Berwyn
active,"4,381",IN,Berne
active,"10,216",PA,Berwick
active,"5,247",AR,Berryville
active,"28,542",AL,Bessemer
active,"9,933",IL,Bethalto
active,"5,562",NC,Bessemer City
active,"31,562",PA,Bethel Park
active,"19,729",OK,Bethany
active,"6,468",AK,Bethel
active,"72,241",PA,Bethlehem
active,"32,584",IA,Bettendorf
active,"39,343",MA,Beverly
active,"9,865",MI,Beverly Hills
active,"34,445",CA,Beverly Hills
active,"12,507",OH,Bexley
active,"21,435",ME,Biddeford
active,"6,131",CA,Big Bear Lake
active,"9,795",MN,Big Lake
active,"10,257",MI,Big Rapids
active,"24,270",TX,Big Spring
active,"5,662",VA,Big Stone Gap
active,"103,994",MT,Billings
active,"45,670",MS,Biloxi
active,"44,729",NY,Binghamton
active,"5,168",PA,Birdsboro
active,"18,932",MI,Birmingham
active,"228,798",AL,Birmingham
active,"5,991",AZ,Bisbee
active,"60,389",ND,Bismarck
active,"20,678",OK,Bixby
active,"6,818",MO,Black Jack
active,"11,012",ID,Blackfoot
active,"7,877",NC,Black Mountain
active,"7,144",OK,Blackwell
active,"41,796",VA,Blacksburg
active,"7,568",MD,Bladensburg
active,"4,975",WA,Blaine
active,"6,747",PA,Blakely
active,"55,042",MN,Blaine
active,"7,789",NE,Blair
active,"5,257",GA,Blakely
active,"6,599",OK,Blanchard
active,"4,303",OH,Blanchester
active,"7,234",NM,Bloomfield
active,"21,848",IL,Bloomingdale
active,"7,454",NJ,Bloomingdale
active,"81,280",MN,Bloomington
active,"73,026",IL,Bloomington
active,"71,819",IN,Bloomington
active,"12,772",PA,Bloomsburg
active,"22,325",IL,Blue Island
active,"12,783",OH,Blue Ash
active,"55,698",MO,Blue Springs
active,"5,143",VA,Bluefield
active,"11,093",WV,Bluefield
active,"8,016",UT,Bluffdale
active,"9,320",IN,Bluffton
active,"21,727",CA,Blythe
active,"4,312",SC,Bluffton
active,"85,670",FL,Boca Raton
active,"16,105",AR,Blytheville
active,"8,349",AL,Boaz
active,"10,283",TX,Boerne
active,"12,607",LA,Bogalusa
active,"4,686",NC,Boiling Spring Lakes
active,"205,314",ID,Boise City
active,"7,917",NJ,Bogota
active,"70,823",IL,Bolingbrook
active,"5,647",TN,Bolivar
active,"11,013",MO,Bolivar
active,"42,730",FL,Bonita Springs
active,"6,854",MO,Bonne Terre
active,"7,161",KS,Bonner Springs
active,"10,660",TX,Bonham
active,"16,809",WA,Bonney Lake
active,"13,945",NC,Boone
active,"12,614",IA,Boone
active,"8,749",MS,Booneville
active,"8,770",MO,Boonville
active,"8,469",NJ,Boonton
active,"6,746",IN,Boonville
active,"12,677",TX,Borger
active,"62,384",LA,Bossier City
active,"32,307",WA,Bothell
active,"609,023",MA,Boston
active,"94,171",CO,Boulder
active,"10,365",NJ,Bound Brook
active,"14,720",NV,Boulder City
active,"44,473",UT,Bountiful
active,"19,024",IL,Bourbonnais
active,"5,580",TX,Bowie
active,"52,544",MD,Bowie
active,"5,285",MO,Bowling Green
active,"29,542",OH,Bowling Green
active,"55,097",KY,Bowling Green
active,"68,291",FL,Boynton Beach
active,"53,513",FL,Bradenton
active,"39,442",MT,Bozeman
active,"8,391",PA,Bradford
active,"14,964",IL,Bradley
active,"4,845",NJ,Bradley Beach
active,"5,324",TX,Brady
active,"8,757",SD,Brandon
active,"6,664",IL,Braidwood
active,"13,691",MN,Brainerd
active,"7,651",MO,Branson
active,"22,160",MS,Brandon
active,"22,725",CA,Brawley
active,"5,565",GA,Braselton
active,"8,272",IN,Brazil
active,"5,632",TX,Breckenridge
active,"8,047",LA,Breaux Bridge
active,"38,314",CA,Brea
active,"4,479",MO,Breckenridge Hills
active,"12,851",OH,Brecksville
active,"4,646",IN,Bremen
active,"4,357",IL,Breese
active,"5,709",GA,Bremen
active,"36,006",WA,Bremerton
active,"15,270",TX,Brenham
active,"9,522",PA,Brentwood
active,"36,176",TN,Brentwood
active,"6,716",NC,Brevard
active,"7,182",MO,Brentwood
active,"49,480",CA,Brentwood
active,"9,035",ME,Brewer
active,"6,099",TX,Bridgeport
active,"8,593",TX,Bridge City
active,"7,986",NY,Briarcliff Manor
active,"5,279",AL,Brewton
active,"7,928",WV,Bridgeport
active,"4,350",PA,Bridgeport
active,"136,405",CT,Bridgeport
active,"24,742",NJ,Bridgeton
active,"14,991",IL,Bridgeview
active,"4,876",PA,Bridgeville
active,"15,028",MO,Bridgeton
active,"5,430",VA,Bridgewater
active,"4,882",NJ,Brielle
active,"6,344",WA,Brier
active,"12,647",NJ,Brigantine
active,"18,709",UT,Brigham City
active,"7,204",MI,Brighton
active,"31,380",CO,Brighton
active,"17,424",VA,Bristol
active,"25,817",TN,Bristol
active,"9,635",PA,Bristol
active,"60,927",CT,Bristol
active,"7,625",IL,Broadview
active,"4,383",OK,Bristow
active,"17,274",OH,Broadview Heights
active,"8,342",NY,Brockport
active,"92,931",OK,Broken Arrow
active,"93,007",MA,Brockton
active,"19,194",OH,Brook Park
active,"6,516",NY,Bronxville
active,"39,020",WI,Brookfield
active,"4,321",MO,Brookfield
active,"18,077",IL,Brookfield
active,"7,886",PA,Brookhaven
active,"13,296",MS,Brookhaven
active,"6,213",OR,Brookings
active,"19,865",SD,Brookings
active,"10,410",OH,Brooklyn
active,"27,402",MN,Brooklyn Center
active,"71,308",MN,Brooklyn Park
active,"7,767",LA,Broussard
active,"5,423",OH,Brookville
active,"8,292",FL,Brooksville
active,"54,858",CO,Broomfield
active,"11,716",WI,Brown Deer
active,"8,947",TX,Brownfield
active,"19,140",TX,Brownwood
active,"10,316",TN,Brownsville
active,"175,494",TX,Brownsville
active,"19,994",IN,Brownsburg
active,"34,711",OH,Brunswick
active,"5,228",MD,Brunswick
active,"15,040",AR,Bryant
active,"5,332",CO,Brush
active,"16,269",GA,Brunswick
active,"72,357",TX,Bryan
active,"8,314",OH,Bryan
active,"38,897",VT,Burlington
active,"4,354",MI,Buchanan
active,"5,505",WV,Buckhannon
active,"4,462",WA,Buckley
active,"47,261",AZ,Buckeye
active,"12,252",OH,Bucyrus
active,"6,788",TX,Buda
active,"79,379",CA,Buena Park
active,"6,471",VA,Buena Vista
active,"270,919",NY,Buffalo
active,"4,832",WY,Buffalo
active,"14,222",MN,Buffalo
active,"42,972",IL,Buffalo Grove
active,"11,780",GA,Buford
active,"40,868",AZ,Bullhead City
active,"4,651",TX,Bulverde
active,"9,396",NJ,Burlington
active,"27,567",IL,Burbank
active,"4,465",LA,Bunkie
active,"102,968",CA,Burbank
active,"8,697",WA,Burlington
active,"10,418",TX,Burkburnett
active,"31,316",WA,Burien
active,"34,908",TX,Burleson
active,"9,105",ID,Burley
active,"27,706",CA,Burlingame
active,"10,930",WI,Burlington
active,"50,857",NC,Burlington
active,"5,974",TX,Burnet
active,"25,327",IA,Burlington
active,"29,845",MI,Burton
active,"11,398",IL,Burr Ridge
active,"59,139",MN,Burnsville
active,"13,933",PA,Butler
active,"8,118",NJ,Butler
active,"4,306",MO,Butler
active,"6,169",NC,Butner
active,"32,119",MT,Butte-Silver Bow
active,"4,324",GA,Byron
active,"4,550",MN,Byron
active,"23,614",AR,Cabot
active,"10,245",MI,Cadillac
active,"15,103",IL,Cahokia
active,"22,185",CA,Calabasas
active,"9,809",GA,Cairo
active,"7,133",NJ,Caldwell
active,"42,331",ID,Caldwell
active,"24,220",WI,Caledonia
active,"10,742",AL,Calera
active,"38,344",CA,Calexico
active,"14,807",GA,Calhoun
active,"14,556",CA,California City
active,"6,252",PA,California
active,"7,454",CA,Calimesa
active,"7,594",CA,Calipatria
active,"5,179",CA,Calistoga
active,"13,899",FL,Callaway
active,"36,800",IL,Calumet City
active,"7,980",IL,Calumet Park
active,"63,324",CA,Camarillo
active,"17,950",WA,Camas
active,"11,192",OH,Cambridge
active,"7,692",MN,Cambridge
active,"11,752",MD,Cambridge
active,"79,383",NJ,Camden
active,"11,512",AR,Camden
active,"105,596",MA,Cambridge
active,"7,033",SC,Camden
active,"5,740",TX,Cameron
active,"9,279",MO,Cameron
active,"7,378",PA,Camp Hill
active,"5,660",GA,Camilla
active,"10,849",AZ,Camp Verde
active,"38,617",CA,Campbell
active,"8,436",OH,Campbell
active,"11,010",KY,Campbellsville
active,"11,031",IL,Campton Hills
active,"6,248",OH,Canal Winchester
active,"5,023",OH,Canal Fulton
active,"11,168",NY,Canandaigua
active,"4,308",NY,Canastota
active,"15,637",OR,Canby
active,"8,717",PA,Canonsburg
active,"6,862",OH,Canfield
active,"78,362",OH,Canton
active,"6,077",NY,Canton
active,"12,520",MS,Canton
active,"14,545",IL,Canton
active,"22,724",GA,Canton
active,"14,602",TX,Canyon
active,"37,370",MO,Cape Girardeau
active,"11,243",CA,Canyon Lake
active,"10,147",FL,Cape Canaveral
active,"156,835",FL,Cape Coral
active,"9,612",CA,Capitola
active,"9,208",PA,Carbondale
active,"6,653",LA,Carencro
active,"26,231",IL,Carbondale
active,"8,093",ME,Caribou
active,"6,266",CO,Carbondale
active,"7,327",MO,Carl Junction
active,"5,962",IL,Carlinville
active,"18,379",PA,Carlisle
active,"25,629",NM,Carlsbad
active,"6,051",OH,Carlisle
active,"96,374",CA,Carlsbad
active,"6,019",NJ,Carlstadt
active,"66,769",IN,Carmel
active,"5,203",IL,Carmi
active,"7,920",PA,Carnegie
active,"13,655",CA,Carpinteria
active,"40,004",IL,Carol Stream
active,"5,864",NC,Carolina Beach
active,"37,741",IL,Carpentersville
active,"18,162",NC,Carrboro
active,"125,595",TX,Carrollton
active,"92,366",CA,Carson
active,"9,985",IA,Carroll
active,"5,332",TX,Carrizo Springs
active,"23,291",GA,Carrollton
active,"54,867",NV,Carson City
active,"23,367",NJ,Carteret
active,"19,010",GA,Cartersville
active,"5,441",IL,Carterville
active,"4,815",MS,Carthage
active,"6,633",TX,Carthage
active,"13,916",MO,Carthage
active,"6,145",MO,Caruthersville
active,"129,545",NC,Cary
active,"19,559",IL,Cary
active,"54,047",WY,Casper
active,"41,152",AZ,Casa Grande
active,"24,759",FL,Casselberry
